Field,Value,Count
_id.$oid,55c4e4ddec4a897835a31a08,1
_id.$oid,55c4e4ddec4a897835a31a0b,1
_id.$oid,55c4eba3ec4a89783ca31a0c,1
_id.$oid,55c4eba3ec4a89783ca31a0d,1
_id.$oid,55c4f2f1ec4a8977f7a31a0c,1
_id.$oid,55c4f2f1ec4a8977f7a31a0f,1
_id.$oid,55c7ef16ec4a897814a31a08,1
_id.$oid,55c7ef16ec4a897814a31a0b,1
_id.$oid,55c7ef2dec4a8977eba31a08,1
_id.$oid,55c7ef2dec4a8977eba31a09,1
_id.$oid,55c8cf82ec4a8977fda31a0c,1
_id.$oid,55c8cf82ec4a8977fda31a0d,1
_id.$oid,55c8cf82ec4a89782ba31a0c,1
_id.$oid,55c8cf82ec4a89782ba31a0d,1
_id.$oid,55d0c7e2ec4a8977eba31a0b,1
_id.$oid,55d0c7e2ec4a8977eba31a0c,1
_id.$oid,55d0ca82ec4a897826a31a07,1
_id.$oid,55d0ca82ec4a897826a31a09,1
_id.$oid,55d0cca3ec4a8977eca31a07,1
_id.$oid,55d0cca3ec4a8977eca31a09,1
blocks[].definition.$oid,5941ae6fec4a890dd12c0c79,8160
blocks[].definition.$oid,5941ae6fec4a890dd12c0c7b,8160
blocks[].definition.$oid,5941ae6fec4a890dd12c0c7a,8160
blocks[].definition.$oid,59499032ec4a890dbd2c0c7a,8152
blocks[].definition.$oid,594994e4ec4a890dc32c0c7f,8122
blocks[].definition.$oid,5949d78aec4a890dbe2c0c86,8113
blocks[].definition.$oid,5949dd56ec4a890df82c0c7d,8070
blocks[].definition.$oid,5949df6aec4a890df52c0c8c,8049
blocks[].definition.$oid,5949e93fec4a890dd72c0c5b,7963
blocks[].definition.$oid,5949e9b4ec4a890de02c0c9f,7946
blocks[].definition.$oid,5949e9c1ec4a890e122c0c86,7943
blocks[].definition.$oid,5949e96eec4a890dd42c0cae,7934
blocks[].definition.$oid,5949f820ec4a890de82c0c71,7915
blocks[].definition.$oid,5949f93dec4a890e162c0c67,7872
blocks[].definition.$oid,594a67d2ec4a890dc32c0c86,7859
blocks[].definition.$oid,594a6c38ec4a890df32c0c86,7823
blocks[].definition.$oid,594a6f1bec4a890ddf2c0c76,7800
blocks[].definition.$oid,594a6f26ec4a890dc22c0c71,7794
blocks[].definition.$oid,594a70d6ec4a890ded2c0c79,7777
blocks[].definition.$oid,594a7198ec4a890e132c0e10,7771
blocks[].block_type,vertical,5833044
blocks[].block_type,html,4690355
blocks[].block_type,sequential,4042872
blocks[].block_type,video,1164092
blocks[].block_type,problem,1009000
blocks[].block_type,chapter,945721
blocks[].block_type,about,819970
blocks[].block_type,discussion,292794
blocks[].block_type,course_info,183626
blocks[].block_type,openassessment,131735
blocks[].block_type,course,128155
blocks[].block_type,google-document,85558
blocks[].block_type,static_tab,36158
blocks[].block_type,combinedopenended,2796
blocks[].block_type,poll,2542
blocks[].block_type,lti,2449
blocks[].block_type,annotatable,1927
blocks[].block_type,survey,1668
blocks[].block_type,word_cloud,1619
blocks[].block_type,peergrading,1164
blocks[].block_id,course,128155
blocks[].block_id,overview,128155
blocks[].block_id,entrance_exam_enabled,123828
blocks[].block_id,entrance_exam_minimum_score_pct,123828
blocks[].block_id,entrance_exam_id,123828
blocks[].block_id,short_description,123828
blocks[].block_id,effort,112621
blocks[].block_id,updates,92478
blocks[].block_id,handouts,91148
blocks[].block_id,video,83882
blocks[].block_id,826b537096144644b1c50fe6e7e74276,8152
blocks[].block_id,f0cd3609344c4c0b89eb0cb83c1816c4,8122
blocks[].block_id,f0449ace6bac4f8bbd6b54bcab29783b,8113
blocks[].block_id,cc131ee5a0b045f99b018376aba61775,8070
blocks[].block_id,ee2b6eaed6034d3696442f9897a059a3,8049
blocks[].block_id,45f7917d025746fe8a5c6db84104c9cb,8045
blocks[].block_id,676ea4750a874b728edc759c7a2cdde4,7963
blocks[].block_id,e12a51eaca594c24b44a7223f09dec84,7946
blocks[].block_id,2c40ff80b9dc4c0e9ec48008cf407203,7943
blocks[].block_id,74f726bec41a4a02a0d9c057df638634,7934
blocks[].fields.tabs[].type,courseware,128155
blocks[].fields.tabs[].type,course_info,128155
blocks[].fields.tabs[].type,textbooks,128155
blocks[].fields.tabs[].type,discussion,128155
blocks[].fields.tabs[].type,wiki,128155
blocks[].fields.tabs[].type,progress,128155
blocks[].fields.tabs[].type,static_tab,22464
blocks[].fields.tabs[].type,pdf_textbooks,14982
blocks[].fields.tabs[].type,open_ended,50
blocks[].fields.tabs[].type,peer_grading,5
blocks[].fields.tabs[].type,staff_grading,5
blocks[].fields.tabs[].name,Textbooks,143137
blocks[].fields.tabs[].name,Courseware,128155
blocks[].fields.tabs[].name,Course Info,128155
blocks[].fields.tabs[].name,Discussion,128155
blocks[].fields.tabs[].name,Wiki,128155
blocks[].fields.tabs[].name,Progress,128155
blocks[].fields.tabs[].name,Bibliografía,5772
blocks[].fields.tabs[].name,Glosario,4115
blocks[].fields.tabs[].name,Vacío,3162
blocks[].fields.tabs[].name,Preguntas frecuentes,2122
blocks[].fields.tabs[].name,Literatura,1815
blocks[].fields.tabs[].name,edxStudio JUAN,1317
blocks[].fields.tabs[].name,Bibliografía del curso,1052
blocks[].fields.tabs[].name,"Añadir imagenes, links, HTML",1029
blocks[].fields.tabs[].name,Empty,686
blocks[].fields.tabs[].name,Demo,558
blocks[].fields.tabs[].name,Contenido_Adicional,246
blocks[].fields.tabs[].name,Twitter,228
blocks[].fields.tabs[].name,Prueba_1,104
blocks[].fields.tabs[].name,Información,80
blocks[].fields.start.$date,2019-04-15T00:30:00.000-0500,21344
blocks[].fields.start.$date,2018-12-03T00:00:00.000-0500,20482
blocks[].fields.start.$date,2018-06-04T00:00:00.000-0500,19657
blocks[].fields.start.$date,2017-06-19T00:00:00.000-0500,18126
blocks[].fields.start.$date,2018-04-09T00:00:00.000-0500,17311
blocks[].fields.start.$date,2017-12-11T00:00:00.000-0500,14487
blocks[].fields.start.$date,2019-05-13T00:30:00.000-0500,13879
blocks[].fields.start.$date,2019-05-20T00:30:00.000-0500,12631
blocks[].fields.start.$date,2016-10-03T00:00:00.000-0500,12512
blocks[].fields.start.$date,2019-05-06T00:30:00.000-0500,12272
blocks[].fields.start.$date,2019-04-15T00:00:00.000-0500,11857
blocks[].fields.start.$date,2018-04-08T19:00:00.000-0500,11415
blocks[].fields.start.$date,2019-06-03T00:30:00.000-0500,11189
blocks[].fields.start.$date,2019-04-22T00:30:00.000-0500,9970
blocks[].fields.start.$date,2017-02-13T00:00:00.000-0500,9930
blocks[].fields.start.$date,2017-02-06T00:00:00.000-0500,9910
blocks[].fields.start.$date,2019-05-27T00:30:00.000-0500,9541
blocks[].fields.start.$date,2017-02-20T00:00:00.000-0500,8597
blocks[].fields.start.$date,2013-02-04T19:00:00.000-0500,8388
blocks[].fields.start.$date,2029-12-31T19:00:00.000-0500,7629
blocks[].fields.display_name,Unidad,343893
blocks[].fields.display_name,Video,255701
blocks[].fields.display_name,Introducción,188404
blocks[].fields.display_name,Multiple Choice,129666
blocks[].fields.display_name,overview,123114
blocks[].fields.display_name,Bienvenida,118199
blocks[].fields.display_name,Contenidos,115608
blocks[].fields.display_name,Frase de la semana,113288
blocks[].fields.display_name,,108297
blocks[].fields.display_name,Imagen explicativa,106265
blocks[].fields.display_name,Objetivo,96284
blocks[].fields.display_name,Evaluación,96130
blocks[].fields.display_name,E-text Written in LaTeX,95226
blocks[].fields.display_name,Foro,93781
blocks[].fields.display_name,Presentación,84324
blocks[].fields.display_name,Información recomendada,83035
blocks[].fields.display_name,Subsección,81299
blocks[].fields.display_name,Videos,77548
blocks[].fields.display_name,Test,76009
blocks[].fields.display_name,Foro de presentación,75676
blocks[].fields.discussion_topics.General.id,course,124936
blocks[].fields.discussion_topics.General.id,i4x-ModalidaAbiertaDistancia-Test01-course-2015_test,2348
blocks[].fields.discussion_topics.General.id,i4x-edX-Open_DemoX-course-edx_demo_course,699
blocks[].fields.discussion_topics.General.id,course-v1:UTPL+TC2016+2016_P1,2
blocks[].edit_info.edited_by.$numberLong,258,2221231
blocks[].edit_info.edited_by.$numberLong,10126,2003721
blocks[].edit_info.edited_by.$numberLong,737,1011660
blocks[].edit_info.edited_by.$numberLong,118,963197
blocks[].edit_info.edited_by.$numberLong,99,777610
blocks[].edit_info.edited_by.$numberLong,2198,704572
blocks[].edit_info.edited_by.$numberLong,3140,580129
blocks[].edit_info.edited_by.$numberLong,129,562085
blocks[].edit_info.edited_by.$numberLong,3139,558342
blocks[].edit_info.edited_by.$numberLong,3152,503775
blocks[].edit_info.edited_by.$numberLong,10125,470602
blocks[].edit_info.edited_by.$numberLong,23972,450595
blocks[].edit_info.edited_by.$numberLong,24114,389804
blocks[].edit_info.edited_by.$numberLong,9531,384275
blocks[].edit_info.edited_by.$numberLong,3194,382461
blocks[].edit_info.edited_by.$numberLong,13763,261859
blocks[].edit_info.edited_by.$numberLong,24612,223061
blocks[].edit_info.edited_by.$numberLong,9074,221705
blocks[].edit_info.edited_by.$numberLong,13762,219392
blocks[].edit_info.edited_by.$numberLong,14761,218017
blocks[].edit_info.edited_on.$date,2016-12-15T16:17:27.845-0500,6841
blocks[].edit_info.edited_on.$date,2017-06-28T11:04:39.622-0500,6768
blocks[].edit_info.edited_on.$date,2017-06-21T12:45:57.741-0500,6108
blocks[].edit_info.edited_on.$date,2017-06-14T16:45:19.606-0500,5645
blocks[].edit_info.edited_on.$date,2017-06-14T16:45:19.625-0500,5645
blocks[].edit_info.edited_on.$date,2017-06-14T16:45:19.615-0500,5645
blocks[].edit_info.edited_on.$date,2017-06-20T22:36:20.322-0500,5450
blocks[].edit_info.edited_on.$date,2017-06-21T07:08:50.383-0500,5130
blocks[].edit_info.edited_on.$date,2018-01-23T22:28:41.938-0500,5092
